,Name,Length,Mean_ones_result,Toggles_count,Toggles_percentage,Longest_zeros_run,Longest_ones_run,Ratio_ones_to_zeros_run,Ground_truth
13,m005.csv,100,0.2,35,0.35353535353535354,10,2,0.2,0
12,m006.csv,100,0.38,52,0.5252525252525253,7,5,0.7142857142857143,0
17,m007.csv,95,0.5473684210526316,46,0.48936170212765956,5,6,1.2,0
14,m008.csv,99,0.25252525252525254,38,0.3877551020408163,8,4,0.5,0
16,m009.csv,100,0.56,41,0.41414141414141414,6,6,1.0,0
9,m010.csv,100,0.37,51,0.5151515151515151,7,3,0.42857142857142855,0
7,m011.csv,100,0.37,40,0.40404040404040403,9,9,1.0,0
18,m012.csv,100,0.48,44,0.4444444444444444,10,7,0.7,0
8,m013.csv,100,0.37,34,0.3434343434343434,15,10,0.6666666666666666,0
1,m014.csv,100,0.22,37,0.37373737373737376,13,2,0.15384615384615385,0
2,m015.csv,100,0.44,49,0.494949494949495,9,4,0.4444444444444444,0
15,m016.csv,100,0.22,28,0.2828282828282828,18,3,0.16666666666666666,0
11,m017.csv,100,0.14,22,0.2222222222222222,29,2,0.06896551724137931,0
3,m018.csv,100,0.1,18,0.18181818181818182,32,2,0.0625,0
0,m019.csv,100,0.46,51,0.5151515151515151,10,5,0.5,0
19,m020.csv,100,0.24,34,0.3434343434343434,13,4,0.3076923076923077,0
21,s20031.csv,2755,0.8580762250453721,562,0.20406681190994916,7,338,48.285714285714285,1
54,s20041.csv,2832,0.9442090395480226,266,0.09395973154362416,4,392,98.0,1
40,s20101.csv,2336,0.4623287671232877,773,0.3310492505353319,26,53,2.0384615384615383,1
31,s20111.csv,2637,0.6920743268866135,910,0.34522003034901366,12,105,8.75,1
44,s20121.csv,2450,0.20938775510204083,657,0.26827276439363007,79,7,0.08860759493670886,1
29,s20131.csv,2322,0.20930232558139536,605,0.26066350710900477,49,10,0.20408163265306123,1
26,s20151.csv,2768,0.8258670520231214,731,0.26418503794723525,13,75,5.769230769230769,1
43,s20161.csv,672,0.9627976190476191,45,0.06706408345752608,2,487,243.5,1
38,s20171.csv,3082,0.6349772874756652,1261,0.4092827004219409,26,45,1.7307692307692308,1
47,s20181.csv,2289,0.5058977719528178,836,0.36538461538461536,35,69,1.9714285714285715,1
42,s20191.csv,72,0.5972222222222222,19,0.2676056338028169,7,19,2.7142857142857144,1
63,s20251.csv,2611,0.8318651857525852,690,0.26436781609195403,4,71,17.75,1
67,s20261.csv,2667,0.7521559805024371,902,0.33833458364591146,11,52,4.7272727272727275,1
65,s20271.csv,2559,0.6568972254787027,1027,0.4014855355746677,10,19,1.9,1
73,s20272.csv,2702,0.8693560325684678,608,0.22510181414291003,4,84,21.0,1
62,s20273.csv,2505,0.8750499001996008,516,0.20607028753993611,5,97,19.4,1
64,s20274.csv,2356,0.8183361629881154,652,0.27685774946921443,5,90,18.0,1
76,s20281.csv,2829,0.8900671615411806,529,0.18705799151343705,5,160,32.0,1
27,s20291.csv,637,0.8524332810047096,132,0.20754716981132076,7,54,7.714285714285714,1
33,s20301.csv,2509,0.9027500996412914,403,0.16068580542264752,8,103,12.875,1
20,s20321.csv,2902,0.656788421778084,1134,0.390899689762151,22,26,1.1818181818181819,1
37,s20341.csv,2626,0.9596344249809596,194,0.0739047619047619,2,302,151.0,1
30,s20351.csv,2687,0.8600669892072944,596,0.22189128816083395,4,99,24.75,1
80,s20361.csv,2810,0.8829181494661922,538,0.19152723389106444,5,98,19.6,1
72,s20371.csv,2669,0.7774447358561258,806,0.3020989505247376,6,109,18.166666666666668,1
79,s20381.csv,2761,0.8018833755885548,787,0.2851449275362319,8,97,12.125,1
39,s20391.csv,2419,0.8536585365853658,548,0.22663358147229115,4,193,48.25,1
56,s20401.csv,2189,0.7153951576062129,834,0.3811700182815356,6,32,5.333333333333333,1
74,s20411.csv,2754,0.9023238925199709,459,0.16672720668361787,5,269,53.8,1
58,s20421.csv,2477,0.7630197819943481,820,0.33117932148626816,9,50,5.555555555555555,1
61,s20431.csv,2712,0.7429941002949852,663,0.24455920324603467,16,86,5.375,1
66,s20441.csv,2779,0.8488664987405542,653,0.23506119510439166,7,64,9.142857142857142,1
69,s20451.csv,2046,0.8734115347018573,429,0.2097799511002445,5,70,14.0,1
59,s20461.csv,2706,0.9035476718403548,442,0.1634011090573013,4,140,35.0,1
23,s20481.csv,2685,0.8707635009310987,540,0.20119225037257824,6,63,10.5,1
68,s20491.csv,2725,0.8645871559633027,594,0.21806167400881057,4,193,48.25,1
50,s20511.csv,645,0.9658914728682171,38,0.059006211180124224,3,154,51.333333333333336,1
32,s20551.csv,341,0.9266862170087976,45,0.1323529411764706,2,48,24.0,1
34,s20561.csv,2269,0.8003525782282944,657,0.2896825396825397,6,52,8.666666666666666,1
60,s20571.csv,2436,0.9433497536945813,262,0.10759753593429158,3,103,34.333333333333336,1
51,s20581.csv,2088,0.64272030651341,778,0.3727839003354097,13,83,6.384615384615385,1
53,s20591.csv,2485,0.9283702213279678,307,0.12359098228663445,3,132,44.0,1
22,s20651.csv,3,0.6666666666666666,2,1.0,1,1,1.0,1
28,s30661.csv,2317,0.771687526974536,711,0.3069948186528497,7,117,16.714285714285715,1
55,s30671.csv,2816,0.7670454545454546,936,0.3325044404973357,7,50,7.142857142857143,1
52,s30681.csv,2686,0.802680565897245,782,0.29124767225325887,6,61,10.166666666666666,1
45,s30691.csv,1386,0.7647907647907648,482,0.348014440433213,8,25,3.125,1
71,s30701.csv,2669,0.8516298239040839,636,0.2383808095952024,4,65,16.25,1
78,s30711.csv,2503,0.8150219736316421,664,0.2653876898481215,7,106,15.142857142857142,1
25,s30721.csv,327,0.9571865443425076,24,0.0736196319018405,3,88,29.333333333333332,1
77,s30731.csv,2846,0.7758257203092059,926,0.3254833040421793,5,49,9.8,1
57,s30732.csv,2562,0.7853239656518345,798,0.31159703240921516,7,65,9.285714285714286,1
24,s30741.csv,2823,0.7513283740701382,971,0.3440822111977321,7,34,4.857142857142857,1
35,s30742.csv,2558,0.7326035965598123,907,0.35471255377395383,9,42,4.666666666666667,1
70,s30751.csv,1631,0.9460453709380748,166,0.10184049079754601,2,157,78.5,1
75,s30752.csv,1632,0.9417892156862745,176,0.1079092581238504,3,147,49.0,1
49,s30761.csv,2161,0.8644146228597871,456,0.2111111111111111,6,140,23.333333333333332,1
36,s30771.csv,2011,0.5997016409746395,692,0.34427860696517415,25,52,2.08,1
48,s30781.csv,459,0.9803921568627451,17,0.03711790393013101,1,161,161.0,1
41,s30791.csv,1458,0.921124828532236,205,0.14070006863417983,5,59,11.8,1
46,s30801.csv,1533,0.8473581213307241,303,0.19778067885117492,6,302,50.333333333333336,1
